,"Euro Area, FX Spot Rates, Macrobond, EUR per USD","Japan, FX Spot Rates, Macrobond, JPY per USD","United Kingdom, FX Spot Rates, Macrobond, GBP per USD","Switzerland, FX Spot Rates, Macrobond, CHF per USD","Canada, FX Spot Rates, Macrobond, CAD per USD","Australia, FX Spot Rates, Macrobond, AUD per USD","New Zealand, FX Spot Rates, Macrobond, NZD per USD","Norway, FX Spot Rates, Macrobond, NOK per USD","Sweden, FX Spot Rates, Macrobond, SEK per USD","United States, FX Indices, ICE, U.S. Dollar Index, Close"
2001-05-28,1.1627,121.025,0.704,1.777,1.5448,1.9204,2.3588,9.2018,10.527,118.18
2001-05-29,1.1708,120.07,0.7052,1.7859,1.5407,1.9387,2.3719,9.2434,10.5819,118.22
2001-05-30,1.1664,120.3108,0.7027,1.7782,1.5424,1.9464,2.396,9.2325,10.5899,118.22
2001-05-31,1.1798,118.82,0.7039,1.794,1.546,1.9728,2.4471,9.3665,10.7663,119.07
2001-06-01,1.1814,118.9,0.7067,1.7967,1.5315,1.9662,2.4355,9.4314,10.8365,118.89
2001-06-04,1.1798,119.665,0.707,1.7926,1.5326,1.9693,2.4417,9.4181,10.8932,119.19
2001-06-05,1.1793,120.2,0.7094,1.7858,1.5338,1.967,2.4387,9.4001,10.8965,118.7
2001-06-06,1.181,120.4357,0.7175,1.7958,1.5267,1.9481,2.4186,9.3811,10.9096,119.36
2001-06-07,1.1761,119.935,0.72,1.791,1.5218,1.9242,2.3915,9.3456,10.9594,119.09
2001-06-08,1.1787,120.775,0.7248,1.796,1.5213,1.9104,2.3864,9.3594,10.971,119.21
2001-06-11,1.188,121.88,0.7285,1.8047,1.5174,1.9143,2.3955,9.4345,11.0318,120.05
2001-06-12,1.1778,121.9306,0.7252,1.7932,1.5235,1.9087,2.3877,9.404,10.9751,119.61
2001-06-13,1.1744,121.73,0.7207,1.7937,1.5168,1.893,2.3663,9.3585,10.8333,119.03
2001-06-14,1.1644,121.325,0.7142,1.7785,1.5185,1.8936,2.4117,9.2874,10.7225,117.99
2001-06-15,1.1598,122.2607,0.7126,1.7708,1.5237,1.8943,2.3914,9.2673,10.5906,118.29
2001-06-18,1.1611,123.005,0.7124,1.7757,1.5309,1.9117,2.4102,9.2145,10.5124,118.36
2001-06-19,1.1664,122.885,0.7133,1.7831,1.5327,1.9203,2.4132,9.1623,10.6013,119.04
2001-06-20,1.1739,123.2906,0.7167,1.7893,1.5305,1.9299,2.4212,9.2522,10.7204,119.13
2001-06-21,1.1716,124.405,0.7071,1.7819,1.5272,1.93,2.4202,9.228,10.7358,118.89
2001-06-22,1.1704,124.3506,0.7086,1.7775,1.5272,1.9336,2.4198,9.2231,10.713,118.91
2001-06-25,1.161,123.85,0.7072,1.7649,1.5193,1.9373,2.4222,9.1963,10.6314,118.32
2001-06-26,1.1605,123.87,0.7063,1.7667,1.5167,1.9275,2.4047,9.1952,10.7254,118.07
2001-06-27,1.1629,124.0707,0.7075,1.7675,1.5166,1.9316,2.4113,9.1885,10.7457,118.38
